Expression	Period
0	PN0#Myonuclei
2.75587317177316	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
1.89842446852378	PN0#Myonuclei
3.05988962449446	PN0#Myonuclei
2.0553626749956	PN0#Myonuclei
1.22694698097595	PN0#Myonuclei
1.68845535852522	PN0#Myonuclei
2.19722457733622	PN0#Myonuclei
3.19987287774259	PN0#Myonuclei
0	PN0#Myonuclei
2.01911794411343	PN0#Myonuclei
2.24785437195001	PN0#Myonuclei
1.79217625746399	PN0#Myonuclei
2.22250809117966	PN0#Myonuclei
0	PN0#Myonuclei
1.68451117798031	PN0#Myonuclei
1.72994988421238	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.35385576269127	PN0#Myonuclei
0	PN0#Myonuclei
3.16445076684326	PN0#Myonuclei
2.01291228114764	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.24709742362055	PN0#Myonuclei
2.70277723603112	PN0#Myonuclei
0	PN0#Myonuclei
2.59021430992638	PN0#Myonuclei
0	PN0#Myonuclei
1.94779823749812	PN0#Myonuclei
1.55244592511066	PN0#Myonuclei
1.39543857749124	PN0#Myonuclei
1.73762719249798	PN0#Myonuclei
3.23027388601162	PN0#Myonuclei
0	PN0#Myonuclei
2.34762900467216	PN0#Myonuclei
1.90521073610303	PN0#Myonuclei
3.11375422929274	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
3.99121950779122	PN0#Myonuclei
2.03514476014304	PN0#Myonuclei
0	PN0#Myonuclei
3.23827821201495	PN0#Myonuclei
2.66134840072109	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
1.93299358606497	PN0#Myonuclei
2.8021400099501	PN0#Myonuclei
1.99240137735663	PN0#Myonuclei
0	PN0#Myonuclei
1.89697833179407	PN0#Myonuclei
2.6172799646919	PN0#Myonuclei
3.02009202040506	PN0#Myonuclei
2.55723038630855	PN0#Myonuclei
